,ID,FACE_SHAPE,MORPH_TYPE,DOM
1,1,Full,Feminized,3.9
2,1,Full,Masculinized,4.2
3,1,Full,Feminized,4.1
4,1,Full,Masculinized,5
5,2,Full,Feminized,1.7
6,2,Full,Masculinized,1.5
7,2,Full,Feminized,1.9
8,2,Full,Masculinized,1.7
9,3,Full,Feminized,3.5
10,3,Full,Masculinized,3.4
11,3,Full,Feminized,2.7
12,3,Full,Masculinized,3.5
13,4,Full,Feminized,3.2
14,4,Full,Masculinized,4.7
15,4,Full,Feminized,2.8
16,4,Full,Masculinized,2.9
17,5,Full,Feminized,3.7
18,5,Full,Masculinized,4.1
19,5,Full,Feminized,4.7
20,5,Full,Masculinized,2
21,8,Full,Feminized,4.2
22,8,Full,Masculinized,3.9
23,8,Full,Feminized,3.3
24,8,Full,Masculinized,4.3
25,9,Full,Feminized,3.4
26,9,Full,Masculinized,3
27,9,Full,Feminized,3.9
28,9,Full,Masculinized,2.8
29,10,Full,Feminized,3.5
30,10,Full,Masculinized,4.4
31,10,Full,Feminized,3
32,10,Full,Masculinized,3.7
33,11,Full,Feminized,4.1
34,11,Full,Masculinized,4.5
35,11,Full,Feminized,3.7
36,11,Full,Masculinized,3.9
37,12,Full,Feminized,2.3
38,12,Full,Masculinized,1
39,12,Full,Feminized,1.7
40,12,Full,Masculinized,2.9
41,16,Full,Feminized,3.9
42,16,Full,Masculinized,4.3
43,16,Full,Feminized,4.3
44,16,Full,Masculinized,4.5
45,17,Full,Feminized,2.6
46,17,Full,Masculinized,4.5
47,17,Full,Feminized,2.7
48,17,Full,Masculinized,4.4
49,18,Full,Feminized,3.4
50,18,Full,Masculinized,3.5
51,18,Full,Feminized,2.8
52,18,Full,Masculinized,3.6
53,19,Full,Feminized,4.6
54,19,Full,Masculinized,3.9
55,19,Full,Feminized,3.7
56,19,Full,Masculinized,3.6
57,20,Full,Feminized,4.1
58,20,Full,Masculinized,4.5
59,20,Full,Feminized,3.8
60,20,Full,Masculinized,3.9
61,21,Full,Feminized,4.1
62,21,Full,Masculinized,3.5
63,21,Full,Feminized,3.6
64,21,Full,Masculinized,3.9
65,22,Full,Feminized,1.9
66,22,Full,Masculinized,3.6
67,22,Full,Feminized,1.6
68,22,Full,Masculinized,2.6
69,23,Full,Feminized,2.5
70,23,Full,Masculinized,3.2
71,23,Full,Feminized,3.2
72,23,Full,Masculinized,4.4
73,24,Full,Feminized,3.3
74,24,Full,Masculinized,3.9
75,24,Full,Feminized,3.4
76,24,Full,Masculinized,3
77,25,Full,Feminized,2.3
78,25,Full,Masculinized,4.1
79,25,Full,Feminized,4.2
80,25,Full,Masculinized,4.6
81,26,Full,Feminized,3.3
82,26,Full,Masculinized,4
83,26,Full,Feminized,3.3
84,26,Full,Masculinized,3.4
85,27,Full,Feminized,3.8
86,27,Full,Masculinized,4.7
87,27,Full,Feminized,3.4
88,27,Full,Masculinized,3.5
89,28,Full,Feminized,3.6
90,28,Full,Masculinized,4.3
91,28,Full,Feminized,3.4
92,28,Full,Masculinized,4.9
93,29,Full,Feminized,3
94,29,Full,Masculinized,3.5
95,29,Full,Feminized,1.8
96,29,Full,Masculinized,2.9
97,30,Full,Feminized,3
98,30,Full,Masculinized,3.1
99,30,Full,Feminized,3.1
100,30,Full,Masculinized,3.2
101,31,Full,Feminized,4.4
102,31,Full,Masculinized,3.5
103,31,Full,Feminized,3.9
104,31,Full,Masculinized,3.8
105,32,Full,Feminized,4.6
106,32,Full,Masculinized,5
107,32,Full,Feminized,3
108,32,Full,Masculinized,3.6
109,33,Full,Feminized,3.8
110,33,Full,Masculinized,3.9
111,33,Full,Feminized,3.2
112,33,Full,Masculinized,3.5
113,34,Full,Feminized,4.6
114,34,Full,Masculinized,6.1
115,34,Full,Feminized,3.1
116,34,Full,Masculinized,5.5
117,35,Full,Feminized,3.5
118,35,Full,Masculinized,4.4
119,35,Full,Feminized,2.8
120,35,Full,Masculinized,4.7
121,36,Full,Feminized,3.8
122,36,Full,Masculinized,4
123,36,Full,Feminized,3
124,36,Full,Masculinized,3.5
125,37,Full,Feminized,3.2
126,37,Full,Masculinized,3.1
127,37,Full,Feminized,4.3
128,37,Full,Masculinized,4
129,38,Full,Feminized,4.1
130,38,Full,Masculinized,5
131,38,Full,Feminized,3.1
132,38,Full,Masculinized,4.3
133,39,Full,Feminized,3.5
134,39,Full,Masculinized,4.3
135,39,Full,Feminized,3.9
136,39,Full,Masculinized,3.8
137,40,Full,Feminized,4.2
138,40,Full,Masculinized,4
139,40,Full,Feminized,3.8
140,40,Full,Masculinized,4.3
141,41,Full,Feminized,4
142,41,Full,Masculinized,4
143,41,Full,Feminized,3.8
144,41,Full,Masculinized,4.3
145,42,Full,Feminized,4.1
146,42,Full,Masculinized,3.4
147,42,Full,Feminized,3.4
148,42,Full,Masculinized,4.3
149,43,Full,Feminized,3.8
150,43,Full,Masculinized,4.5
151,43,Full,Feminized,3.6
152,43,Full,Masculinized,3.8
153,44,Full,Feminized,4.1
154,44,Full,Masculinized,4.5
155,44,Full,Feminized,3.8
156,44,Full,Masculinized,4.5
157,45,Full,Feminized,2.9
158,45,Full,Masculinized,3.7
159,45,Full,Feminized,2.2
160,45,Full,Masculinized,3.1
161,46,Full,Feminized,2.7
162,46,Full,Masculinized,3.5
163,46,Full,Feminized,3.5
164,46,Full,Masculinized,3
165,47,Full,Feminized,4.2
166,47,Full,Masculinized,3.6
167,47,Full,Feminized,4.9
168,47,Full,Masculinized,4.4
169,48,Full,Feminized,4.3
170,48,Full,Masculinized,4.6
171,48,Full,Feminized,3.9
172,48,Full,Masculinized,4.5
173,49,Full,Feminized,4.1
174,49,Full,Masculinized,4.2
175,49,Full,Feminized,3
176,49,Full,Masculinized,3.6
177,50,Full,Feminized,4.1
178,50,Full,Masculinized,4.4
179,50,Full,Feminized,4.6
180,50,Full,Masculinized,4.3
181,51,Full,Feminized,3.3
182,51,Full,Masculinized,3.3
183,51,Full,Feminized,3
184,51,Full,Masculinized,3.4
185,52,Full,Feminized,4.5
186,52,Full,Masculinized,5.2
187,52,Full,Feminized,4.2
188,52,Full,Masculinized,4.5
189,53,Full,Feminized,3.3
190,53,Full,Masculinized,3
191,53,Full,Feminized,3.1
192,53,Full,Masculinized,2.3
193,501,Oval,Feminized,5.4
194,501,Oval,Masculinized,4.4
195,501,Oval,Feminized,4
196,501,Oval,Masculinized,4.5
197,502,Oval,Feminized,4.5
198,502,Oval,Masculinized,4.7
199,502,Oval,Feminized,5.2
200,502,Oval,Masculinized,5.4
201,503,Oval,Feminized,3.4
202,503,Oval,Masculinized,4.5
203,503,Oval,Feminized,2.9
204,503,Oval,Masculinized,4.6
205,504,Oval,Feminized,3.7
206,504,Oval,Masculinized,4.1
207,504,Oval,Feminized,3.6
208,504,Oval,Masculinized,3.3
209,505,Oval,Feminized,3.3
210,505,Oval,Masculinized,3.8
211,505,Oval,Feminized,3.3
212,505,Oval,Masculinized,3.3
213,506,Oval,Feminized,3.6
214,506,Oval,Masculinized,3.5
215,506,Oval,Feminized,2.6
216,506,Oval,Masculinized,3.3
217,507,Oval,Feminized,4.8
218,507,Oval,Masculinized,5.5
219,507,Oval,Feminized,4.4
220,507,Oval,Masculinized,4.9
221,508,Oval,Feminized,3.9
222,508,Oval,Masculinized,4.3
223,508,Oval,Feminized,3.4
224,508,Oval,Masculinized,4.3
225,509,Oval,Feminized,4.6
