ID,Face_Shape,TrialNum,Face_Set,Morph_Type,Pic_Number,Dom
1,1,1,1,2,518,3
1,1,2,2,2,7,4
1,1,3,2,2,61,3
1,1,4,1,1,601,5
1,1,5,2,1,70,2
1,1,6,2,2,106,6
1,1,7,2,1,71,6
1,1,8,1,2,592,4
1,1,9,2,2,131,5
1,1,10,1,1,529,5
1,1,11,1,1,625,5
1,1,12,1,2,623,3
1,1,13,1,2,504,4
1,1,14,1,2,605,5
1,1,15,1,1,638,2
1,1,16,2,1,45,4
1,1,17,1,2,603,5
1,1,18,2,2,48,6
1,1,19,2,2,40,6
1,1,20,2,1,8,7
1,1,21,1,2,521,3
1,1,22,1,1,631,3
1,1,23,2,1,66,4
1,1,24,2,2,41,4
1,1,25,2,1,62,3
1,1,26,1,1,643,3
1,1,27,1,1,541,4
1,1,28,2,1,91,5
1,1,29,1,1,563,2
1,1,30,1,2,621,5
1,1,31,2,2,60,5
1,1,32,2,2,8,6
1,1,33,2,1,110,2
1,1,34,1,2,628,3
1,1,35,2,2,33,5
1,1,36,1,1,608,5
1,1,37,1,2,672,7
1,1,38,2,1,142,4
1,1,39,2,1,57,4
1,1,40,1,1,521,5
2,1,1,1,2,672,1
2,1,2,2,2,43,1
2,1,3,1,2,631,1
2,1,4,2,1,26,1
2,1,5,1,1,603,1
2,1,6,1,2,604,2
2,1,7,1,2,541,2
2,1,8,2,1,116,1
2,1,9,2,1,57,1
2,1,10,2,2,162,1
2,1,11,1,1,632,1
2,1,12,1,1,529,1
2,1,13,2,1,150,2
2,1,14,2,2,73,1
2,1,15,1,1,569,1
2,1,16,1,2,529,1
2,1,17,2,2,131,1
2,1,18,2,1,60,3
2,1,19,2,1,52,2
2,1,20,1,2,625,2
2,1,21,1,1,625,2
2,1,22,2,2,52,3
2,1,23,2,1,69,4
2,1,24,2,1,161,2
2,1,25,1,1,608,1
2,1,26,2,2,7,2
2,1,27,2,1,61,2
2,1,28,2,1,162,1
2,1,29,2,2,33,3
2,1,30,2,2,111,2
2,1,31,1,2,592,2
2,1,32,1,2,569,1
2,1,33,1,2,521,2
2,1,34,1,1,604,4
2,1,35,2,2,63,2
2,1,36,2,2,96,1
2,1,37,1,1,605,1
2,1,38,1,2,630,1
2,1,39,1,1,601,4
2,1,40,1,1,623,1
3,1,1,2,1,62,3
3,1,2,1,2,632,4
3,1,3,2,2,61,3
3,1,4,2,2,37,3
3,1,5,1,2,512,4
3,1,6,1,2,623,4
3,1,7,2,2,98,3
3,1,8,1,1,625,3
3,1,9,1,2,533,
3,1,10,1,2,672,2
3,1,11,2,1,9,2
3,1,12,1,1,621,4
3,1,13,2,1,110,2
3,1,14,1,1,563,4
3,1,15,2,2,113,3
3,1,16,2,1,61,4
3,1,17,1,1,522,3
3,1,18,2,2,60,3
3,1,19,2,2,142,2
3,1,20,2,2,111,5
3,1,21,1,1,632,3
3,1,22,1,2,625,3
3,1,23,1,2,621,5
3,1,24,1,2,592,4
3,1,25,1,1,529,3
3,1,26,2,2,91,4
3,1,27,1,1,521,2
3,1,28,2,1,91,5
3,1,29,2,1,49,1
3,1,30,2,1,68,2
3,1,31,1,1,601,5
3,1,32,2,2,45,5
3,1,33,2,1,96,3
3,1,34,2,1,86,2
3,1,35,2,2,70,4
3,1,36,1,2,604,3
3,1,37,1,2,522,5
3,1,38,2,1,141,3
3,1,39,1,1,569,4
3,1,40,1,1,640,4
4,1,1,2,2,105,
4,1,2,2,2,150,3
4,1,3,2,1,41,2
4,1,4,1,1,526,3
4,1,5,2,2,41,4
4,1,6,1,2,521,5
4,1,7,2,2,49,5
4,1,8,2,2,68,2
4,1,9,2,1,65,
4,1,10,1,1,604,2
4,1,11,1,1,592,4
4,1,12,2,1,150,3
4,1,13,2,2,63,4
4,1,14,1,1,512,3
4,1,15,1,2,621,5
4,1,16,1,1,541,4
4,1,17,1,1,638,2
4,1,18,1,1,632,2
4,1,19,2,1,111,
4,1,20,2,1,142,3
4,1,21,2,1,91,4
4,1,22,1,2,628,4
4,1,23,1,1,518,2
4,1,24,2,1,48,5
4,1,25,1,2,631,6
4,1,26,2,1,105,3
4,1,27,2,1,73,4
4,1,28,1,2,601,5
4,1,29,1,2,568,5
4,1,30,1,2,518,3
4,1,31,1,2,512,6
4,1,32,1,2,541,5
4,1,33,2,2,8,5
4,1,34,2,1,86,4
4,1,35,2,2,110,3
4,1,36,2,2,100,3
4,1,37,1,2,526,3
4,1,38,1,1,533,5
4,1,39,2,2,42,
4,1,40,1,1,628,5
5,1,1,2,1,26,6
5,1,2,2,2,109,
5,1,3,1,2,601,5
5,1,4,1,1,529,5
5,1,5,2,2,48,
5,1,6,1,2,672,5
5,1,7,1,2,604,3
5,1,8,1,1,512,
5,1,9,2,2,150,3
5,1,10,1,1,522,5
5,1,11,2,1,142,
5,1,12,1,1,608,6
5,1,13,1,1,533,6
5,1,14,2,2,100,4
5,1,15,2,1,52,4
5,1,16,2,2,38,
5,1,17,2,1,109,6
5,1,18,1,2,512,6
5,1,19,2,2,62,6
5,1,20,1,2,625,3
5,1,21,2,2,162,3
5,1,22,2,2,5,2
5,1,23,1,2,563,2
5,1,24,2,2,81,
5,1,25,1,2,673,5
5,1,26,1,2,623,6
5,1,27,2,1,60,5
5,1,28,2,1,57,6
5,1,29,2,2,37,2
5,1,30,2,1,100,5
5,1,31,1,2,568,3
5,1,32,2,1,153,6
5,1,33,1,1,623,
5,1,34,1,1,541,5
5,1,35,1,1,640,6
5,1,36,2,1,63,4
5,1,37,2,1,68,5
5,1,38,1,1,569,
5,1,39,1,1,518,4
5,1,40,1,2,504,3
8,1,1,1,2,617,3
8,1,2,2,2,75,2
8,1,3,2,1,5,4
8,1,4,2,1,73,3
8,1,5,1,1,533,5
8,1,6,1,1,625,6
8,1,7,2,1,110,2
8,1,8,1,2,601,3
8,1,9,2,1,43,
8,1,10,1,2,521,3
8,1,11,1,1,522,5
8,1,12,1,1,623,4
8,1,13,1,2,604,2
8,1,14,1,2,563,6
8,1,15,2,1,33,5
8,1,16,2,2,68,5
8,1,17,2,2,61,5
8,1,18,2,2,7,5
8,1,19,2,2,40,5
8,1,20,1,1,621,4
8,1,21,2,2,96,5
8,1,22,1,1,643,3
8,1,23,2,2,41,3
8,1,24,1,2,630,4
8,1,25,2,1,80,4
8,1,26,2,2,38,3
8,1,27,1,2,643,5
8,1,28,1,1,592,3
8,1,29,2,1,37,3
8,1,30,2,1,131,5
8,1,31,1,1,604,2
8,1,32,2,1,26,2
8,1,33,1,2,640,3
8,1,34,1,1,673,6
8,1,35,1,2,522,5
8,1,36,2,2,26,4
8,1,37,2,2,161,6
8,1,38,2,1,66,5
8,1,39,1,1,630,4
8,1,40,1,2,531,5
9,1,1,1,2,638,3
9,1,2,1,1,526,2
9,1,3,1,2,563,2
9,1,4,1,2,504,3
9,1,5,2,1,61,4
9,1,6,2,1,16,2
9,1,7,1,1,512,5
9,1,8,2,1,49,4
9,1,9,1,1,621,2
9,1,10,1,2,522,5
9,1,11,1,1,640,5
9,1,12,1,2,603,2
9,1,13,2,1,150,3
9,1,14,2,2,41,5
9,1,15,2,2,9,5
9,1,16,2,1,62,6
9,1,17,1,2,643,2
9,1,18,1,1,533,5
9,1,19,2,2,13,2
9,1,20,2,2,5,
9,1,21,2,2,105,2
9,1,22,2,2,26,1
9,1,23,2,1,116,2
9,1,24,2,1,33,4
9,1,25,1,2,630,5
