,ID,condition,dimorphism,d
1,1,full,dFEM,0.476190476
2,2,full,dFEM,0.0625
3,3,full,dFEM,0.660714286
4,5,full,dFEM,0.527777778
5,9,full,dFEM,0.523809524
6,11,full,dFEM,0.692307692
7,12,full,dFEM,0.266666667
8,14,full,dFEM,0.045454545
9,16,full,dFEM,0.303030303
10,17,full,dFEM,0.647058824
11,18,full,dFEM,0.25
12,19,full,dFEM,0.208333333
13,20,full,dFEM,-0.10989011
14,23,full,dFEM,0.442307692
15,24,full,dFEM,0.2
16,25,full,dFEM,0
17,26,full,dFEM,0.525641026
18,29,full,dFEM,-0.055555556
19,30,full,dFEM,0.055555556
20,31,full,dFEM,0.104761905
21,33,full,dFEM,0.1
22,34,full,dFEM,0.208333333
23,35,full,dFEM,0.283333333
24,36,full,dFEM,0.25
25,37,full,dFEM,0.25
26,38,full,dFEM,0.1
27,39,full,dFEM,0.145454545
28,42,full,dFEM,0.454545455
29,43,full,dFEM,-0.071428571
30,44,full,dFEM,0.142857143
31,45,full,dFEM,0.505050505
32,46,full,dFEM,0.145454545
33,47,full,dFEM,0
34,48,full,dFEM,0.4
35,50,full,dFEM,0.636363636
36,51,full,dFEM,0.163461538
37,52,full,dFEM,0.101010101
38,53,full,dFEM,0.386363636
39,504,oval,dFEM,0.32967033
40,506,oval,dFEM,-0.038461538
41,508,oval,dFEM,0.47008547
42,509,oval,dFEM,0.1
43,510,oval,dFEM,0.505050505
44,511,oval,dFEM,0.727272727
45,512,oval,dFEM,0.427272727
46,514,oval,dFEM,0.101010101
47,515,oval,dFEM,0.25
48,516,oval,dFEM,0.647058824
49,517,oval,dFEM,0.10989011
50,520,oval,dFEM,0
51,521,oval,dFEM,0.225
52,522,oval,dFEM,-0.071428571
53,523,oval,dFEM,0.625
54,524,oval,dFEM,0.101010101
55,527,oval,dFEM,0.647058824
56,529,oval,dFEM,0.3125
57,530,oval,dFEM,0.333333333
58,531,oval,dFEM,0.75
59,532,oval,dFEM,0.011904762
60,533,oval,dFEM,0.154761905
61,534,oval,dFEM,0.045454545
62,535,oval,dFEM,0.125
63,536,oval,dFEM,0.205128205
64,537,oval,dFEM,0.208333333
65,539,oval,dFEM,0.163461538
66,540,oval,dFEM,0.236363636
67,541,oval,dFEM,0
68,542,oval,dFEM,0.32967033
69,543,oval,dFEM,-0.166666667
70,545,oval,dFEM,0.366666667
71,546,oval,dFEM,0.493506494
72,547,oval,dFEM,0
73,551,oval,dFEM,-0.028571429
74,1,full,dMASC,0
75,2,full,dMASC,-0.01010101
76,3,full,dMASC,0.444444444
77,5,full,dMASC,0.371428571
78,9,full,dMASC,0.333333333
79,11,full,dMASC,-0.357142857
80,12,full,dMASC,-0.045454545
81,14,full,dMASC,0.25
82,16,full,dMASC,0.416666667
83,17,full,dMASC,0.525641026
84,18,full,dMASC,0.282051282
85,19,full,dMASC,0.208333333
86,20,full,dMASC,0.549450549
87,23,full,dMASC,0.297619048
88,24,full,dMASC,0.549450549
89,25,full,dMASC,0.238095238
90,26,full,dMASC,0.336363636
91,29,full,dMASC,0.266666667
92,30,full,dMASC,0.333333333
93,31,full,dMASC,0.225
94,33,full,dMASC,0.045454545
95,34,full,dMASC,0.442857143
96,35,full,dMASC,-0.083333333
97,36,full,dMASC,0.380952381
98,37,full,dMASC,0.229166667
99,38,full,dMASC,0.436363636
100,39,full,dMASC,0.038461538
101,42,full,dMASC,0.111111111
102,43,full,dMASC,0.433333333
103,44,full,dMASC,0.154761905
104,45,full,dMASC,-0.101010101
105,46,full,dMASC,0.602272727
106,47,full,dMASC,0.208333333
107,48,full,dMASC,0.208333333
108,50,full,dMASC,0.225
109,51,full,dMASC,0.171428571
110,52,full,dMASC,0.238095238
111,53,full,dMASC,-0.045454545
112,504,oval,dMASC,0
113,506,oval,dMASC,0.769230769
114,508,oval,dMASC,-0.138461538
115,509,oval,dMASC,0.045454545
116,510,oval,dMASC,0.196078431
117,511,oval,dMASC,0.083333333
118,512,oval,dMASC,-0.038461538
119,514,oval,dMASC,0.32967033
120,515,oval,dMASC,0.297619048
121,516,oval,dMASC,0.266666667
122,517,oval,dMASC,0.303030303
123,520,oval,dMASC,0.129411765
124,521,oval,dMASC,0.282051282
125,522,oval,dMASC,0.567307692
126,523,oval,dMASC,0.101010101
127,524,oval,dMASC,0.588235294
128,527,oval,dMASC,0.191919192
129,529,oval,dMASC,0.238095238
130,530,oval,dMASC,0.090909091
131,531,oval,dMASC,-0.125
132,532,oval,dMASC,0.222222222
133,533,oval,dMASC,0.357142857
134,534,oval,dMASC,0.236363636
135,535,oval,dMASC,0.1
136,536,oval,dMASC,0.5
137,537,oval,dMASC,0.101010101
138,539,oval,dMASC,0.380952381
139,540,oval,dMASC,0.170454545
140,541,oval,dMASC,0.505050505
141,542,oval,dMASC,0.133333333
142,543,oval,dMASC,0.045454545
143,545,oval,dMASC,0.333333333
144,546,oval,dMASC,0.266666667
145,547,oval,dMASC,0.32967033
146,551,oval,dMASC,0.225
